date,close,open,high,low
01.02.2025,"609,70","592,67","610,99","590,49"
01.01.2025,"601,82","589,39","610,78","575,35"
01.12.2024,"586,08","602,97","609,07","580,91"
01.11.2024,"602,55","571,32","603,35","567,89"
01.10.2024,"568,64","573,40","586,12","565,27"
01.09.2024,"573,76","560,47","574,71","539,44"
01.08.2024,"563,68","552,57","564,20","510,27"
01.07.2024,"550,81","545,63","565,16","537,45"
01.06.2024,"544,22","529,02","550,28","522,60"
01.05.2024,"527,37","501,38","533,07","499,55"
01.04.2024,"501,98","523,83","524,38","493,86"
01.03.2024,"523,07","508,98","524,61","504,91"
01.02.2024,"508,08","484,63","510,13","483,80"
01.01.2024,"482,88","472,16","491,62","466,43"
01.12.2023,"475,31","455,77","477,55","454,31"
01.11.2023,"456,40","419,20","458,32","418,65"
01.10.2023,"418,20","426,62","438,14","409,21"
01.09.2023,"427,48","453,17","453,67","422,29"
01.08.2023,"450,35","456,27","457,25","433,01"
01.07.2023,"457,79","442,92","459,44","437,06"
01.06.2023,"443,28","418,09","444,30","416,79"
01.05.2023,"417,85","415,47","422,58","403,74"
01.04.2023,"415,93","408,85","415,94","403,78"
01.03.2023,"409,39","395,41","409,70","380,65"
01.02.2023,"396,26","405,21","418,31","393,64"
01.01.2023,"406,48","384,37","408,16","377,83"
01.12.2022,"382,43","408,77","410,49","374,77"
01.11.2022,"407,68","390,14","407,68","368,79"
01.10.2022,"386,21","361,08","389,52","348,11"
01.09.2022,"357,18","392,89","411,73","357,04"
01.08.2022,"395,18","409,15","431,73","395,04"
01.07.2022,"411,99","376,56","413,03","371,04"
01.06.2022,"377,25","415,17","417,44","362,17"
01.05.2022,"412,93","412,07","429,66","380,54"
01.04.2022,"412,00","453,31","457,83","411,21"
01.03.2022,"451,64","435,04","462,07","415,12"
01.02.2022,"436,63","450,68","458,12","410,64"
01.01.2022,"449,91","476,30","479,98","420,76"
01.12.2021,"474,96","461,64","479,00","448,92"
01.11.2021,"455,56","460,30","473,54","455,30"
01.10.2021,"459,25","430,98","459,56","426,36"
01.09.2021,"429,14","452,56","454,05","428,78"
01.08.2021,"451,56","440,34","453,07","436,10"
01.07.2021,"438,51","428,87","441,80","421,97"
01.06.2021,"428,06","422,57","428,78","414,70"
01.05.2021,"420,04","419,43","422,81","404,00"
01.04.2021,"417,30","398,40","420,72","398,18"
01.03.2021,"396,33","385,59","398,12","371,88"
01.02.2021,"380,36","373,72","394,17","370,38"
01.01.2021,"370,07","375,31","385,85","364,82"
01.12.2020,"373,88","365,57","378,46","362,03"
01.11.2020,"362,06","330,20","364,38","327,24"
01.10.2020,"326,54","337,69","354,02","322,60"
01.09.2020,"334,89","350,21","358,75","319,80"
01.08.2020,"349,31","328,32","351,30","327,73"
01.07.2020,"326,52","309,57","327,23","309,07"
01.06.2020,"308,36","303,62","323,41","296,74"
01.05.2020,"304,32","285,31","306,84","272,99"
01.04.2020,"290,48","247,98","294,88","243,90"
01.03.2020,"257,75","298,21","313,84","218,26"
01.02.2020,"296,26","323,35","339,08","285,54"
01.01.2020,"321,73","323,54","332,95","320,36"
01.12.2019,"321,86","314,59","323,80","307,13"
01.11.2019,"314,31","304,92","315,48","304,74"
01.10.2019,"303,33","297,74","304,55","284,82"
01.09.2019,"296,77","290,57","302,63","289,27"
01.08.2019,"292,45","297,60","300,87","281,72"
01.07.2019,"297,43","296,68","302,23","294,33"
01.06.2019,"293,00","275,31","296,31","273,09"
01.05.2019,"275,27","294,72","294,95","275,24"
01.04.2019,"294,02","284,70","294,45","284,40"
01.03.2019,"282,48","280,44","285,18","272,42"
01.02.2019,"278,68","270,15","281,31","267,83"
01.01.2019,"269,93","245,98","270,47","243,67"
01.12.2018,"249,92","280,28","280,40","233,76"
01.11.2018,"275,65","271,60","281,22","263,07"
01.10.2018,"270,63","292,11","293,21","259,85"
01.09.2018,"290,72","289,84","293,94","286,71"
01.08.2018,"290,31","281,56","291,74","279,16"
01.07.2018,"281,33","269,51","284,37","269,24"
01.06.2018,"271,28","272,41","279,48","268,49"
01.05.2018,"270,94","263,87","274,25","259,05"
01.04.2018,"264,51","262,55","271,30","254,67"
01.03.2018,"263,15","271,41","280,41","257,83"
01.02.2018,"271,65","281,07","283,06","252,92"
01.01.2018,"281,90","267,84","286,63","267,40"
01.12.2017,"266,86","264,76","268,60","260,76"
01.11.2017,"265,01","258,04","266,05","255,63"
01.10.2017,"257,15","251,49","257,89","251,29"
01.09.2017,"251,23","247,92","251,32","244,95"
01.08.2017,"247,49","247,46","248,91","241,83"
01.07.2017,"246,77","242,88","248,00","240,34"
01.06.2017,"241,80","241,97","245,01","239,96"
01.05.2017,"241,44","238,68","242,08","235,43"
01.04.2017,"238,08","235,80","239,53","232,51"
01.03.2017,"235,74","238,39","240,32","231,61"
01.02.2017,"236,47","228,25","237,31","226,82"
01.01.2017,"227,53","225,04","229,71","223,88"
01.12.2016,"223,53","220,73","228,34","219,15"
